               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1103,            0.015937,                   0,          0.00046667,            0.095238,          0.00034244,          0.00010101,             0.10327,            0.012967,                   0,              0.0712,              0.0032,              0.0032
                   1,             0.10549,            0.016307,                   0,          0.00045752,            0.095238,          0.00032796,          8.7866e-05,             0.10083,            0.013077,                   0,            0.041178,           0.0061782,           0.0061782
                   2,             0.10293,              0.0167,                   0,          0.00062842,             0.15646,          0.00039881,          9.0453e-05,            0.099324,            0.013068,                   0,             0.01083,           0.0088298,           0.0088298
                   3,             0.10006,            0.017353,                   0,          0.00072562,             0.21769,          0.00056184,          9.9164e-05,             0.11046,            0.011361,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.097417,            0.016277,                   0,          0.00063492,             0.19048,           0.0004829,          0.00011077,             0.10756,            0.010892,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.094451,            0.016488,                   0,          0.00072562,             0.21769,           0.0005155,          0.00011388,            0.093483,            0.012349,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.091573,            0.016701,                   0,          0.00092971,             0.27891,          0.00091067,           0.0002035,            0.091172,            0.012185,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.090309,            0.017071,                   0,           0.0017007,              0.5102,           0.0039326,          0.00093667,            0.088279,            0.012111,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.086645,            0.017313,                   0,            0.001746,             0.52381,            0.031108,            0.017722,            0.085483,            0.011901,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.084294,            0.016945,                   0,            0.002449,             0.73469,            0.021794,           0.0046568,            0.081879,             0.01171,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.082465,            0.016631,                   0,           0.0022902,             0.68707,            0.017482,           0.0036316,            0.084136,            0.010913,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.080491,            0.016387,                   0,           0.0024717,              0.7415,            0.015522,           0.0035608,            0.078534,             0.01294,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.078306,             0.01684,                   0,           0.0018821,             0.56463,           0.0033568,          0.00079375,             0.08885,            0.012682,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.076408,            0.016235,                   0,             0.01904,              0.5034,            0.029835,           0.0067016,            0.073596,            0.012599,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.076215,            0.016828,                   0,            0.022574,             0.53061,            0.051447,            0.012165,            0.073464,            0.011991,                   0,            0.003565,            0.003565,            0.003565
                  15,             0.07569,            0.016296,                   0,            0.023371,             0.42857,            0.025082,            0.006068,            0.073731,            0.012296,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.073688,            0.017146,                   0,            0.021466,             0.55102,            0.047731,            0.012332,            0.071664,            0.012193,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.074598,             0.01695,                   0,            0.056283,             0.28571,            0.040266,            0.010866,            0.069806,            0.011911,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.071423,            0.016941,                   0,            0.060901,             0.22449,            0.051241,            0.012623,            0.071776,            0.011513,                   0,            0.001585,            0.001585,            0.001585
                  19,             0.07054,            0.017361,                   0,            0.055313,              0.2585,            0.032042,           0.0074996,            0.078548,            0.011561,                   0,             0.00109,             0.00109,             0.00109
